Time (ms),Altitude,Temp,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
250673,293.18,40.01,-4.37,-4.37,4.37,12.33,3.76,-3.38
251173,288.17,40.03,-4.37,-4.37,3.15,11.89,2.35,-3.61
252231,283.07,40.05,-4.37,-4.37,4.18,11.95,3.12,-2.8
253238,279.19,40.09,-4.37,-4.37,4.37,12.92,3.32,-3.53
253744,277.84,40.1,-4.37,-4.37,4.37,12.74,3.42,-3.39
254250,274.01,40.11,-4.33,-4.37,4.37,11.54,3.35,-3.09
254756,273.14,40.13,-4.37,-4.37,2.95,13.56,3.24,-2.83
255262,268.95,40.14,-4.37,-4.37,4.37,10.8,3.69,-2.77
255768,268.78,40.15,-4.37,-4.37,4.37,12.84,3.85,-3.28
256274,264.71,40.16,-4.37,-4.37,4.37,11.49,3.55,-3.22
256780,264.18,40.18,-4.37,-4.37,4.37,11.75,3.51,-3.22
257286,260.27,40.19,-4.37,-4.37,4.37,11.93,3.48,-2.75
257792,259.01,40.22,-4.37,-4.37,3.38,11.65,2.92,-2.99
258298,255.21,40.23,-4.37,-4.37,4.37,10.74,3.52,-2.37
259311,249.96,40.26,-4.37,-4.37,4.37,10.79,2.97,-2.38
260653,245,40.29,-4.37,-4.37,4.37,11.77,3.46,-2.86
261665,240.39,40.34,-4.37,-4.37,4.37,11.27,3.45,-2.54
262171,236.78,40.34,-4.37,-4.37,4.37,12.81,3.54,-2.55
262678,235.91,40.37,-4.37,-4.37,4.37,10.53,2.56,-2.75
263214,231.2,40.38,-4.37,-4.37,4.37,13.39,3.51,-3.44
263714,229.4,40.4,-4.37,-4.37,3.82,12.75,3.61,-3.06
264219,225.95,40.41,-4.37,-4.37,3.9,11.42,2.76,-2.14
264725,225.79,40.42,-4.37,-4.37,4.37,10.95,3.21,-2.38
265231,221.44,40.43,-3.27,0,3.57,11.12,-0.13,-0.92
266159,217.66,40.46,-4.37,-4.37,3.68,11.65,2.75,-2.7
266661,215.59,40.49,-4.37,-4.37,4.37,12.32,2.85,-2.8
267167,211.36,40.5,-3.6,-4.37,4.37,10.26,3.49,-2.6
267673,210.1,40.52,-4.37,-4.37,4.37,10.19,3.37,-2.62
268179,206.58,40.53,-4.37,-4.37,4.37,13.91,3.85,-3.77
268685,205.88,40.55,-4.37,-4.37,4.37,10.96,3.29,-2.83
269191,201.26,40.56,-4.37,-4.37,4.37,12.58,3.41,-3.97
269697,201.26,40.56,-4.37,-4.37,4.37,11.92,3.3,-3.13
270203,201.09,40.58,-4.37,-4.37,3.26,12.31,2.77,-2.71
270703,197.48,40.59,-4.37,-4.37,4.37,11.8,3.19,-3.43
271203,192.34,40.62,-4.37,-4.37,4.37,12.52,3.82,-2.96
272212,187.78,40.66,-4.37,-4.37,4.37,11.5,2.47,-3.5
272718,187.61,40.67,-4.37,-4.37,4.37,12.58,3.33,-3.22
273224,182.75,40.69,-4.37,-4.37,4.37,11.76,3.06,-2.48
273730,182.75,40.7,-4.37,-4.37,3.96,11.37,3.13,-2.64
274236,179.23,40.71,-4.37,-4.37,4.37,11.28,3.38,-2.94
274742,177.25,40.73,-4.37,-4.37,4.37,11.79,3.58,-3.08
275248,173.2,40.75,-4.37,-4.37,4.37,11.7,3.04,-2.67
276133,169.97,40.75,-4.37,-4.37,4.37,12.38,3.45,-2.73
276641,169.97,40.77,-4.37,-4.37,3.91,11.41,3.04,-2.54
277147,163.83,40.79,-4.37,-4.37,4.37,11.84,2.76,-3.51
277653,162.96,40.81,-4.37,-4.37,4.28,10.94,2.76,-2.46
278159,159.28,40.83,-4.37,-4.37,4.37,11.4,3.62,-3.05
278665,159.39,40.84,-4.37,-4.37,4.37,12.54,3.17,-3.66
279198,153.62,40.86,-4.37,-4.37,2.68,11.75,2.48,-2.95
279699,153.29,40.87,-4.37,-4.37,4.37,88.47,21.93,-26.99
280205,148.6,40.88,-4.37,-4.37,4.37,13.06,3.65,-3.4
280711,148.69,40.89,-4.37,-4.37,4.37,12.16,3.06,-2.92
281217,143.73,40.91,-4.37,-4.37,4.37,10.5,3.28,-2.23
281723,143.12,40.92,-4.37,-4.37,4.37,12.92,3.99,-2.75
282229,139.08,40.94,-3.61,-4.37,2.51,11.04,2.95,-2.12
282735,138.02,40.96,-4.37,-4.37,4.3,13.02,2.87,-3.71
283241,133.43,40.97,-4.37,-4.37,4.37,12.21,3.4,-2.83
284192,128.31,40.99,0,0,0,4.95,0.61,5.61
284700,128.95,40.99,-4.08,0,1.25,-18.69,0,-17.7
285206,124.09,41.02,-2.41,-4.37,4.37,11.57,3.2,-2.97
285706,120.8,41.04,-4.37,-4.37,4.37,11.05,3.5,-2.16
286206,117.3,41.07,-4.37,-4.37,4.37,12.33,2.64,-3.16
287133,112.55,41.08,-4.37,-4.37,4.15,11.37,3.26,-3.37
287633,112.57,41.09,-4.37,-4.37,4.37,13.5,3.65,-3.99
288146,107.88,41.1,-4.37,-4.37,1.83,11.26,2.97,-1.8
288646,107.18,41.11,-4,-4.37,4.37,11.27,3.27,-2.12
289151,103.16,41.13,-4.37,-4.37,4.37,12.65,3.12,-3.53
289657,103.79,41.15,-4.37,-4.37,4.37,12.67,3.18,-3.59
290163,97.96,41.17,-4.37,-4.37,2.19,11.6,2.97,-2.14
290669,98.07,41.17,-3.84,-4.37,4.37,11.26,3.71,-3.34
291175,93.03,41.19,-4.37,-4.37,4.37,11.22,3.34,-2.59
291675,92.16,41.2,-4.37,-4.37,4.37,11.63,4.08,-3.52
292175,88.94,41.22,-4.37,-4.37,4.29,11.5,3.18,-1.71
292679,86.62,41.23,-4.37,-4.37,-0.92,14.24,1.56,-3.78
293185,84.29,41.24,1.13,-2.72,3.86,10.6,3,-2.92
293691,83.42,41.26,-1.78,-3.25,4.37,15.37,5.62,-3.47
294197,77.86,41.27,-4.37,-3.52,4.37,11.07,3.14,-3.11
294703,78.32,41.28,-0.48,-1.11,4.37,10.3,5.76,-3.49
295209,73.92,41.31,-4.37,-4.37,1.07,15.17,1.89,-5.29
296094,69.65,41.32,-4.37,-4.37,-4.37,12.53,2.21,-1
296595,70.65,41.34,1.19,1.71,4.37,13.94,4.81,-3.16
297695,63.31,41.36,-4.37,-4.37,4.37,8.78,4.56,-2.69
298201,60.9,41.38,-4.37,-4.37,4.37,16.66,3.66,-5.83
298707,60.73,41.39,-4.37,-4.37,-4.37,18.82,3.53,-2.73
299213,57.88,41.39,-4.37,-4.37,3.49,13.52,4.48,-3.39
299719,57.25,41.41,-4.37,-4.37,4.37,10.01,5.08,-2.56
300225,53.07,41.42,-4.37,-4.37,1.75,14.61,2.99,-4.67
300731,52.18,41.43,-0.88,-2.65,0.67,9.48,5.28,-0.75
301237,47.37,41.47,-4.37,-4.13,4.37,8.89,4.3,-2.16
